Region Type,Region,Country,Lat,Long,4/1/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/2/20,4/20/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,prediction_type
district,bengaluru urban,India,20,70,0.23132222909874636,0.06680449495956757,0.9338593001670638,0.8753086395481038,0.8218015533670131,0.7721554523011743,0.7257502156555135,0.6822418757529742,0.6413850159567119,0.6029969054762435,0.566908862829224,0.20150928895159154,0.5329903125933532,0.17552064990069055,0.15287666037929232,0.13317899528984536,0.11602610372421722,0.10104988289903145,0.08801439598165588,0.07668527003228878,exposed
district,bengaluru urban,India,20,70,0.021102344181254652,0.0032850798504069803,-0.0047014419624261455,-0.0011073762177224113,0.0016160304443697982,0.0034809105856124845,0.0046569110316923455,0.005333761922155489,0.005664487356970227,0.005764517577999052,0.005712559475087176,0.016182980427966776,0.005568604491109142,0.012632598454700529,0.01003035322143564,0.008092546071682527,0.0066209388525233955,0.00547899642210652,0.004582228803778144,0.0038676734869616427,icu_mean
district,bengaluru urban,India,20,70,16.125701228318054,16.715527628248967,16.667393833389877,16.645150173526385,16.64658350332756,16.665132718471344,16.695000008852368,16.731773850565574,16.772293598408442,16.81443148027973,16.85675669353821,16.263724045122977,16.898367796467312,16.370388742060527,16.45426791907399,16.52133772786434,16.57578980912056,16.620566776677858,16.657794004640607,16.68905842821186,recovered_mean
district,bengaluru urban,India,20,70,1.4022348894189611,1.4535241415868665,1.4493385942078154,1.4474043629153377,1.447529000289353,1.4491419755192474,1.4517391312045536,1.4549368565709193,1.458460312905082,1.4621244765460635,1.465804929872888,1.4142368734889545,1.4694232866493315,1.4235120645270025,1.4308059060064338,1.4366380632925513,1.4413730268800486,1.4452666762328574,1.4485038264904875,1.4512224720184228,deceased_mean
district,bengaluru urban,India,20,70,17.949983001362106,18.23475336684397,18.02270358834917,18.070407012087273,18.12643311250431,18.18389290570284,18.239877360690766,18.2933859455796,18.34404365845293,18.391846308385773,18.43681281291284,18.001620527171266,18.479163172938826,18.04655277568154,18.085680889509135,18.11982671259054,18.149581613051076,18.175413381352847,18.197942407206657,18.217634369969517,confirmed_mean
district,bengaluru urban,India,20,70,0.422046883625093,0.0657015970081396,-0.0940288392485229,-0.022147524354448223,0.03232060888739596,0.06961821171224969,0.09313822063384691,0.10667523844310978,0.11328974713940454,0.11529035155998102,0.11425118950174351,0.3236596085593355,0.11137208982218283,0.25265196909401055,0.2006070644287128,0.16185092143365054,0.1324187770504679,0.10957992844213038,0.09164457607556287,0.07735346973923285,hospitalized_mean
district,bengaluru urban,India,20,70,0.422046883625093,0.0657015970081396,-0.0940288392485229,-0.022147524354448223,0.03232060888739596,0.06961821171224969,0.09313822063384691,0.10667523844310978,0.11328974713940454,0.11529035155998102,0.11425118950174351,0.3236596085593355,0.11137208982218283,0.25265196909401055,0.2006070644287128,0.16185092143365054,0.1324187770504679,0.10957992844213038,0.09164457607556287,0.07735346973923285,active_mean
district,bengaluru urban,India,20,70,0.06514875760669339,0.018774070698877602,0.04630561266343301,0.06317997288337093,0.06773961654636847,0.06718572325285715,0.06467990108006332,0.06144023667396601,0.05803976870194981,0.054664889374578286,0.05146775278950377,0.05672048958796771,0.04838672963701765,0.04943364840822044,0.04310052635196525,0.037510815465220046,0.032628117100748866,0.028474102409530865,0.024825266148669076,0.021571113045923816,infected
district,bengaluru urban,India,20,70,17.527936117737013,18.169051769835832,18.116732427597693,18.09255453644172,18.094112503616913,18.11427469399059,18.14673914005692,18.18671070713649,18.230753911313524,18.276555956825792,18.322561623411097,17.67796091861193,18.367791083116643,17.79390080658753,17.885073825080422,17.95797579115689,18.017162836000608,18.065833452910717,18.106297831131094,18.140280900230284,final
district,bengaluru urban,India,20,70,0.3673341334674198,0.05718426113495333,-0.08183925418339441,-0.019276393175353162,0.028130672964137717,0.060593138973601336,0.08106409239505961,0.09284621637139917,0.09860324222453756,0.10034449496151158,0.09944004640613739,0.28170145654756124,0.09693418360512875,0.21989901060003408,0.17460103376766833,0.14086910787036228,0.11525244850725641,0.09537435204821543,0.07976407893491289,0.06732562395271759,active_min
district,bengaluru urban,India,20,70,0.47675963378276626,0.07421893288132586,-0.10621842431365137,-0.02501865553354328,0.0365105448106542,0.07864328445089803,0.10521234887263421,0.12050426051482037,0.12797625205427152,0.13023620815845044,0.12906233259734962,0.36561776057110973,0.1258099960392369,0.28540492758798697,0.22661309508975722,0.1828327349969388,0.14958510559367935,0.12378550483604532,0.10352507321621283,0.0873813155257481,active_max
district,bengaluru urban,India,20,70,0.3673341334674198,0.05718426113495333,-0.08183925418339441,-0.019276393175353162,0.028130672964137717,0.060593138973601336,0.08106409239505961,0.09284621637139917,0.09860324222453756,0.10034449496151158,0.09944004640613739,0.28170145654756124,0.09693418360512875,0.21989901060003408,0.17460103376766833,0.14086910787036228,0.11525244850725641,0.09537435204821543,0.07976407893491289,0.06732562395271759,hospitalized_min
district,bengaluru urban,India,20,70,0.47675963378276626,0.07421893288132586,-0.10621842431365137,-0.02501865553354328,0.0365105448106542,0.07864328445089803,0.10521234887263421,0.12050426051482037,0.12797625205427152,0.13023620815845044,0.12906233259734962,0.36561776057110973,0.1258099960392369,0.28540492758798697,0.22661309508975722,0.1828327349969388,0.14958510559367935,0.12378550483604532,0.10352507321621283,0.0873813155257481,hospitalized_max
