Province/State,Country/Region,Lat,Long,02/28/2020,02/29/2020,03/01/2020,03/02/2020,03/03/2020,03/04/2020,03/05/2020,03/06/2020,03/07/2020,03/08/2020,03/09/2020,03/10/2020,03/11/2020,03/12/2020,03/13/2020,03/14/2020,03/15/2020,03/16/2020,03/17/2020,03/18/2020,03/19/2020,03/20/2020,03/21/2020,03/22/2020,03/23/2020,03/24/2020,03/25/2020,03/26/2020,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020
ME,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,17.0,32.0,43.0,53.0,57.0,73.0,89.0,107.0,125.0,142.0,139.0,144.0,175.0,212.0,234.0,235.0,264.0,282.0,319.0,316.0,314.0,341.0,343.0,350.0,358.0
MI,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,16.0,25.0,33.0,53.0,65.0,80.0,336.0,549.0,787.0,1035.0,1328.0,1791.0,2294.0,2856.0,3657.0,3657.0,5486.0,6498.0,7615.0,9334.0,10791.0,12744.0,14225.0,15718.0,17221.0,18970.0,20346.0,21448.0
MN,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,9.0,14.0,21.0,35.0,54.0,60.0,77.0,89.0,115.0,138.0,169.0,235.0,262.0,165.0,346.0,218.0,221.0,251.0,576.0,629.0,689.0,742.0,789.0,425.0,484.0,516.0,520.0,522.0,567.0
MO,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,6.0,8.0,13.0,24.0,47.0,73.0,90.0,183.0,183.0,356.0,502.0,669.0,838.0,838.0,1031.0,1327.0,1581.0,1834.0,2113.0,2291.0,2367.0,2722.0,3037.0,3327.0,3539.0
MP,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,11.0,11.0
MS,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,10.0,12.0,21.0,34.0,50.0,80.0,140.0,207.0,249.0,320.0,377.0,485.0,579.0,663.0,758.0,847.0,937.0,1073.0,1177.0,1358.0,1455.0,1638.0,1738.0,1915.0,2003.0,2260.0
MT,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,7.0,7.0,8.0,10.0,12.0,16.0,20.0,31.0,34.0,46.0,53.0,71.0,108.0,129.0,154.0,171.0,184.0,208.0,227.0,243.0,265.0,286.0,299.0,319.0,197.0,197.0
NC,US,20,70,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,7.0,12.0,15.0,23.0,32.0,33.0,40.0,63.0,97.0,137.0,184.0,255.0,297.0,398.0,504.0,636.0,763.0,935.0,1040.0,1307.0,1498.0,1584.0,1857.0,2093.0,2402.0,2585.0,2870.0,3221.0,3426.0,3651.0
ND,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,15.0,20.0,28.0,28.0,30.0,34.0,39.0,52.0,50.0,67.0,80.0,90.0,96.0,108.0,116.0,118.0,123.0,144.0,151.0,155.0,153.0,168.0
NE,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,5.0,10.0,13.0,14.0,17.0,18.0,21.0,24.0,27.0,32.0,38.0,48.0,50.0,52.0,61.0,73.0,85.0,96.0,108.0,145.0,172.0,210.0,246.0,279.0,321.0,363.0,409.0,447.0,519.0,567.0
NH,US,20,70,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,6.0,6.0,7.0,13.0,13.0,17.0,26.0,39.0,44.0,55.0,65.0,78.0,101.0,108.0,137.0,158.0,187.0,214.0,314.0,314.0,359.0,324.0,378.0,396.0,475.0,522.0,564.0,577.0,561.0
