,reported_date,patientId,district,active_cases_count
8,2020-03-25,2.0,Gautam Buddha Nagar,10.0
9,2020-03-26,3.0,Gautam Buddha Nagar,13.0
10,2020-03-27,3.0,Gautam Buddha Nagar,16.0
8,2020-03-25,0.0,Kolkata,5.0
9,2020-03-26,0.0,Kolkata,5.0
10,2020-03-27,0.0,Kolkata,5.0
7,2020-03-25,0.0,Ratnagiri,1.0
8,2020-03-26,0.0,Ratnagiri,1.0
9,2020-03-27,0.0,Ratnagiri,1.0
7,2020-03-25,0.0,Srinagar,3.0
8,2020-03-26,2.0,Srinagar,5.0
9,2020-03-27,4.0,Srinagar,9.0
7,2020-03-25,1.0,Jhunjhunu,5.0
8,2020-03-26,1.0,Jhunjhunu,6.0
9,2020-03-27,0.0,Jhunjhunu,6.0
7,2020-03-25,0.0,North East Delhi,1.0
8,2020-03-26,0.0,North East Delhi,1.0
9,2020-03-27,0.0,North East Delhi,1.0
6,2020-03-25,0.0,Chandigarh,7.0
7,2020-03-26,0.0,Chandigarh,7.0
8,2020-03-27,0.0,Chandigarh,7.0
6,2020-03-25,0.0,Kodagu,1.0
7,2020-03-26,0.0,Kodagu,1.0
8,2020-03-27,0.0,Kodagu,1.0
6,2020-03-25,0.0,Prakasam,1.0
7,2020-03-26,0.0,Prakasam,1.0
8,2020-03-27,0.0,Prakasam,1.0
6,2020-03-25,1.0,Raipur,2.0
7,2020-03-26,1.0,Raipur,3.0
8,2020-03-27,0.0,Raipur,3.0
6,2020-03-25,0.0,Shaheed Bhagat Singh Nagar,15.0
7,2020-03-26,1.0,Shaheed Bhagat Singh Nagar,16.0
8,2020-03-27,3.0,Shaheed Bhagat Singh Nagar,19.0
6,2020-03-25,0.0,Rajkot,3.0
7,2020-03-26,1.0,Rajkot,4.0
8,2020-03-27,3.0,Rajkot,7.0
6,2020-03-25,0.0,Surat,5.0
7,2020-03-26,0.0,Surat,5.0
8,2020-03-27,0.0,Surat,5.0
6,2020-03-25,0.0,Visakhapatnam,3.0
7,2020-03-26,0.0,Visakhapatnam,3.0
8,2020-03-27,1.0,Visakhapatnam,4.0
6,2020-03-25,0.0,North Delhi,2.0
7,2020-03-26,0.0,North Delhi,2.0
8,2020-03-27,0.0,North Delhi,2.0
6,2020-03-25,0.0,North West Delhi,3.0
7,2020-03-26,0.0,North West Delhi,3.0
8,2020-03-27,0.0,North West Delhi,3.0
5,2020-03-25,0.0,Sahibzada Ajit Singh Nagar,5.0
6,2020-03-26,0.0,Sahibzada Ajit Singh Nagar,5.0
7,2020-03-27,1.0,Sahibzada Ajit Singh Nagar,6.0
5,2020-03-25,0.0,Ahmedabad,14.0
6,2020-03-26,0.0,Ahmedabad,14.0
7,2020-03-27,0.0,Ahmedabad,14.0
5,2020-03-25,0.0,Vadodara,7.0
6,2020-03-26,0.0,Vadodara,7.0
7,2020-03-27,0.0,Vadodara,7.0
5,2020-03-25,4.0,Bhilwara,15.0
6,2020-03-26,0.0,Bhilwara,15.0
7,2020-03-27,2.0,Bhilwara,17.0
5,2020-03-25,0.0,Faridabad,2.0
6,2020-03-26,0.0,Faridabad,2.0
7,2020-03-27,0.0,Faridabad,2.0
5,2020-03-25,0.0,Panipat,2.0
6,2020-03-26,1.0,Panipat,3.0
7,2020-03-27,0.0,Panipat,3.0
5,2020-03-25,0.0,Kangra,3.0
6,2020-03-26,0.0,Kangra,3.0
7,2020-03-27,0.0,Kangra,3.0
5,2020-03-25,0.0,Jabalpur,6.0
6,2020-03-26,0.0,Jabalpur,6.0
7,2020-03-27,0.0,Jabalpur,6.0
5,2020-03-25,0.0,Karimnagar,3.0
6,2020-03-26,0.0,Karimnagar,3.0
7,2020-03-27,0.0,Karimnagar,3.0
4,2020-03-25,0.0,North 24 Parganas,1.0
5,2020-03-26,0.0,North 24 Parganas,1.0
6,2020-03-27,0.0,North 24 Parganas,1.0
4,2020-03-25,0.0,Chikkaballapura,3.0
5,2020-03-26,1.0,Chikkaballapura,4.0
6,2020-03-27,0.0,Chikkaballapura,4.0
4,2020-03-25,0.0,Panchkula,1.0
5,2020-03-26,0.0,Panchkula,1.0
6,2020-03-27,0.0,Panchkula,1.0
4,2020-03-25,0.0,Gandhinagar,6.0
5,2020-03-26,0.0,Gandhinagar,6.0
6,2020-03-27,0.0,Gandhinagar,6.0
4,2020-03-25,0.0,Moradabad,1.0
5,2020-03-26,0.0,Moradabad,1.0
6,2020-03-27,0.0,Moradabad,1.0
4,2020-03-25,1.0,Erode,3.0
5,2020-03-26,0.0,Erode,3.0
6,2020-03-27,2.0,Erode,5.0
4,2020-03-25,1.0,Hoshiarpur,2.0
5,2020-03-26,0.0,Hoshiarpur,2.0
6,2020-03-27,0.0,Hoshiarpur,2.0
4,2020-03-25,0.0,Mysuru,2.0
5,2020-03-26,1.0,Mysuru,3.0
6,2020-03-27,0.0,Mysuru,3.0
4,2020-03-25,0.0,Sonepat,1.0
5,2020-03-26,0.0,Sonepat,1.0
6,2020-03-27,0.0,Sonepat,1.0
4,2020-03-25,0.0,Kutch,1.0
5,2020-03-26,0.0,Kutch,1.0
6,2020-03-27,0.0,Kutch,1.0
4,2020-03-25,0.0,East Godavari,1.0
5,2020-03-26,0.0,East Godavari,1.0
6,2020-03-27,0.0,East Godavari,1.0
4,2020-03-25,1.0,Krishna,2.0
5,2020-03-26,1.0,Krishna,3.0
6,2020-03-27,0.0,Krishna,3.0
4,2020-03-25,0.0,Varanasi,1.0
5,2020-03-26,0.0,Varanasi,1.0
6,2020-03-27,0.0,Varanasi,1.0
3,2020-03-25,0.0,Dharwad,1.0
4,2020-03-26,0.0,Dharwad,1.0
5,2020-03-27,0.0,Dharwad,1.0
3,2020-03-25,0.0,Coimbatore,1.0
4,2020-03-26,0.0,Coimbatore,1.0
5,2020-03-27,0.0,Coimbatore,1.0
3,2020-03-25,0.0,Munger,1.0
4,2020-03-26,2.0,Munger,3.0
5,2020-03-27,0.0,Munger,3.0
3,2020-03-25,1.0,Patna,3.0
4,2020-03-26,1.0,Patna,4.0
5,2020-03-27,0.0,Patna,4.0
3,2020-03-25,1.0,Bhopal,2.0
4,2020-03-26,0.0,Bhopal,2.0
5,2020-03-27,0.0,Bhopal,2.0
3,2020-03-25,0.0,Bhadradri Kothagudem,3.0
4,2020-03-26,0.0,Bhadradri Kothagudem,3.0
5,2020-03-27,0.0,Bhadradri Kothagudem,3.0
3,2020-03-25,0.0,Uttara Kannada,3.0
4,2020-03-26,0.0,Uttara Kannada,3.0
5,2020-03-27,1.0,Uttara Kannada,4.0
3,2020-03-25,1.0,Kozhikode,5.0
4,2020-03-26,0.0,Kozhikode,5.0
5,2020-03-27,1.0,Kozhikode,6.0
3,2020-03-25,0.0,Tiruneveli,1.0
4,2020-03-26,0.0,Tiruneveli,1.0
5,2020-03-27,0.0,Tiruneveli,1.0
3,2020-03-25,1.0,Jodhpur,4.0
4,2020-03-26,0.0,Jodhpur,4.0
5,2020-03-27,0.0,Jodhpur,4.0
2,2020-03-25,0.0,Palwal,1.0
