,0
Train1MAPE,1.1230038020580373
Train1RMLSE,0.012707291972169405
train1_EbyCRatio,0.12938722391804824
train1_IbyCRatio,0.7952156419421951
train1_infectious_period,1.0114531160344953
train1_r0,3.8818562049932446
train1_LatentEbyCRatio_4/28/20,0.12938722391804824
train1_LatentEbyCRatio_5/5/20,0.29691448777439694
train1_LatentIbyCRatio_4/28/20,0.7952156419421951
train1_LatentIbyCRatio_5/5/20,0.0625480357316137
TestMAPE,2.6415996733971943
TestRMLSE,0.030591428921898235
Train2MAPE,1.1405258347637897
Train2RMLSE,0.013913727967585872
train2_EbyCRatio,0.398482362518273
train2_IbyCRatio,0.11517805246946208
train2_infectious_period,4.4802787060903695
train2_r0,0.8215805089752104
train2_LatentEbyCRatio_5/5/20,0.398482362518273
train2_LatentEbyCRatio_5/12/20,0.1592847654858035
train2_LatentIbyCRatio_5/5/20,0.11517805246946208
train2_LatentIbyCRatio_5/12/20,0.15125904871784418
