,index,exposed,active_mean,recovered_mean,deceased_mean,confirmed_mean,hospitalized_mean,active_min,active_max,hospitalized_min,hospitalized_max,recovered_min,recovered_max,deceased_min,deceased_max,confirmed_min,confirmed_max,R_big,F,H,icu_mean,icu_min,icu_max
0,5/6/20,1853.2209161501999,4767.1335864614,611.1,67.9,5446.1335864614,855,4298.12626125149,5236.14091167131,770.8821006834565,939.1178993165435,550.9778382779652,671.2221617220348,61.21975980866281,74.5802401913372,4910.323859338118,5981.943313584682,1534.6742631586,679,855,17.1,15.417642013669132,18.782357986330872
1,5/7/20,2016.8918425236,5097.1131996637,663.3000000000001,73.7,5834.1131996637,1680,4595.641322547517,5598.585076779882,1514.71570660609,1845.28429339391,598.0422191617974,728.5577808382027,66.44913546242194,80.95086453757807,5260.132677171737,6408.093722155662,2417.8983604463,737,1680,33.6,30.2943141321218,36.9056858678782
2,5/8/20,2091.5768044625,5395.1491005521,765.9,85.10000000000001,6246.1491005521,2345,4864.355406004754,5925.942795099447,2114.290673804334,2575.709326195666,690.548071243812,841.2519287561879,76.7275634715347,93.47243652846532,5631.6310407201,6860.6671603841005,3196.9432256342,851,2345,46.9,42.28581347608668,51.51418652391332
3,5/9/20,2107.9830256952,5657.8528751553,909.0,101.0,6667.8528751553,2887,5101.213461704857,6214.492288605744,2602.9668124832037,3171.0331875167963,819.569391252938,998.430608747062,91.06326569477089,110.93673430522911,6011.846118652566,7323.859631658035,3897.6253819954,1010,2887,57.74,52.05933624966407,63.42066375033593
4,5/10/20,2089.2685795724,5881.650450016899,1085.4,120.60000000000001,7087.650450016899,3333,5302.993046075819,6460.30785395798,3005.0877679274395,3660.9122320725605,978.6145404465775,1192.1854595534226,108.73494893850861,132.4650510614914,6390.342535460904,7784.958364572894,4539.719243573601,1206,3333,66.66,60.101755358548786,73.21824464145121
5,5/11/20,2046.0166132464,6069.3008349491,1288.8,143.20000000000002,7501.3008349491,3700,5472.181727865987,6666.419942032213,3335.981020501508,4064.018979498492,1162.0033349249577,1415.5966650750422,129.11148165832864,157.2885183416714,6763.296544449274,8239.305125448927,5132.97888937,1432,3700,74.0,66.71962041003016,81.28037958996984
6,5/12/20,1987.816983155,6222.8735182748005,1514.7,168.3,7905.8735182748005,4003,5610.645391877345,6835.101644672256,3609.1708175858207,4396.82918241418,1365.6785004739552,1663.721499526045,151.74205560821724,184.85794439178278,7128.065947959518,8683.681088590083,5686.3119848396,1683,4003,80.06,72.18341635171642,87.93658364828359
7,5/13/20,1922.2460234474,6341.0709411392,1759.5,195.5,8296.0709411392,4251,5717.214137647028,6964.927744631372,3832.771707608624,4669.228292391375,1586.3942177222712,1932.6057822777288,176.26602419136344,214.73397580863656,7479.874379560662,9112.267502717737,6206.974092619,1955,4251,85.02,76.65543415217248,93.38456584782752
8,5/14/20,1851.7403795920002,6430.2835519752,2019.6000000000001,224.4,8674.2835519752,4454,5797.649698873591,7062.917405076809,4015.7998554901933,4892.200144509807,1820.904667298607,2218.2953327013934,202.3227408109563,246.4772591890437,7820.8771069831555,9527.689996967247,6698.093527835401,2244,4454,89.08,80.31599710980387,97.84400289019612
9,5/15/20,1778.6265680162,6491.0641774085,2291.4,254.60000000000002,9037.0641774085,4616,5852.450513159996,7129.677841657003,4161.861727198638,5070.138272801362,2065.9640298316635,2516.8359701683366,229.55155887018486,279.6484411298152,8147.966101861845,9926.162252955155,7162.6589683593,2546,4616,92.32000000000001,83.23723454397276,101.40276545602725
10,5/16/20,1705.8189449357,6527.2217448879,2573.1,285.90000000000003,9386.2217448879,4745,5885.050772311019,7169.3927174647815,4278.170254670177,5211.829745329823,2319.949395635792,2826.250604364208,257.7721550706436,314.0278449293565,8462.772323017454,10309.671166758346,7604.074561635201,2859,4745,94.9,85.56340509340355,104.23659490659647
11,5/17/20,1634.5565516414001,6538.7566234053,2862.9,318.1,9719.756623405301,4843,5895.45080901584,7182.062437794761,4366.528670888865,5319.471329111135,2581.2378550253425,3144.5621449746577,286.80420611392697,349.3957938860731,8763.492870155109,10676.020376655493,8024.368689176601,3181,4843,96.86,87.33057341777732,106.38942658222268
12,5/18/20,1564.6602508012,6529.5273003169,3159.0,351.0,10039.5273003169,4914,5887.129499109089,7171.925101524712,4430.543441822813,5397.456558177187,2848.2064983146656,3469.7935016853344,316.46738870162955,385.53261129837045,9051.803386125384,11027.251214508417,8424.3971996383,3510,4914,98.28,88.61086883645626,107.94913116354374
13,5/19/20,1496.4187068606,6501.8013726039,3459.6,384.40000000000003,10345.801372603899,4961,5862.131345426287,7141.471399781512,4472.9194169481025,5449.0805830518975,3119.2324158181123,3799.9675841818876,346.5813795353459,422.2186204646542,9327.945140779744,11363.657604428054,8805.3437784679,3844,4961,99.22,89.45838833896205,108.98161166103795
14,5/20/20,1430.5165655472001,6457.348212874,3762.9,418.1,10638.348212874,4987,5822.05164349108,7092.64478225692,4496.361445740816,5477.638554259184,3392.6926978500337,4133.107302149967,376.9658553166704,459.23414468332965,9591.710196657783,11684.986229090217,9168.6643807744,4181,4987,99.74000000000001,89.92722891481633,109.55277108518369
15,5/21/20,1367.6184998061,6397.9781072407,4068.0,452.0,10917.9781072407,4995,5768.522577118686,7027.433637362715,4503.574377677036,5486.425622322964,3667.775889567604,4468.224110432397,407.5306543964004,496.4693456035996,9843.82912108269,11992.12709339871,9515.759004,4520,4995,99.9,90.07148755354072,109.72851244645929
