,0
Train1MAPE,0.9605411988585019
Train1RMLSE,0.01298143911189682
train1_EbyCRatio,0.1926483158009994
train1_IbyCRatio,0.287627222175259
train1_infectious_period,9.669102754953478
train1_r0,0.14029979267926573
train1_LatentEbyCRatio_4/28/20,0.1926483158009994
train1_LatentEbyCRatio_5/5/20,0.06542064992634997
train1_LatentIbyCRatio_4/28/20,0.287627222175259
train1_LatentIbyCRatio_5/5/20,0.21594309521041874
TestMAPE,6.280067603602904
TestRMLSE,0.07939807937679724
Train2MAPE,1.365745716524096
Train2RMLSE,0.018293951143659146
train2_EbyCRatio,0.10130380265149642
train2_IbyCRatio,0.7480375849220006
train2_infectious_period,8.294194572482079
train2_r0,0.32912303837284096
train2_LatentEbyCRatio_5/5/20,0.10130380265149642
train2_LatentEbyCRatio_5/12/20,0.1334834864920961
train2_LatentIbyCRatio_5/5/20,0.7480375849220006
train2_LatentIbyCRatio_5/12/20,0.38559706715343256
