,0
Train1MAPE,0.2183420803152611
Train1RMLSE,0.0030740083591614224
train1_EbyCRatio,0.13257672518617916
train1_IbyCRatio,0.2656011737823287
train1_infectious_period,6.055878730891285
train1_r0,0.7850494659368907
train1_LatentEbyCRatio_4/28/20,0.13257672518617916
train1_LatentEbyCRatio_5/5/20,0.1371540333016124
train1_LatentIbyCRatio_4/28/20,0.2656011737823287
train1_LatentIbyCRatio_5/5/20,0.17757018768548127
TestMAPE,1.9731123608687775
TestRMLSE,0.021603258134699183
Train2MAPE,0.5211732565884001
Train2RMLSE,0.006080799614255025
train2_EbyCRatio,0.18365690526298775
train2_IbyCRatio,0.45345937934710306
train2_infectious_period,4.943864464719315
train2_r0,0.3530351090497541
train2_LatentEbyCRatio_5/5/20,0.18365690526298775
train2_LatentEbyCRatio_5/12/20,0.1010151103448583
train2_LatentIbyCRatio_5/5/20,0.45345937934710306
train2_LatentIbyCRatio_5/12/20,0.1815098347817163
