,0
Train1MAPE,1.7331535287546775
Train1RMLSE,0.01848199747554217
train1_EbyCRatio,0.026451093925177218
train1_IbyCRatio,0.5527284395721942
train1_infectious_period,5.782434154545349
train1_r0,1.8112004303827254
train1_LatentEbyCRatio_4/28/20,0.026451093925177218
train1_LatentEbyCRatio_5/5/20,0.42545114848746307
train1_LatentIbyCRatio_4/28/20,0.5527284395721942
train1_LatentIbyCRatio_5/5/20,0.3463713882855239
TestMAPE,9.83835079725655
TestRMLSE,0.11465312733869998
Train2MAPE,2.3756380139430946
Train2RMLSE,0.025103643392616195
train2_EbyCRatio,0.30542253872556285
train2_IbyCRatio,0.8995636832112922
train2_infectious_period,4.139169966629774
train2_r0,0.7550908426667082
train2_LatentEbyCRatio_5/5/20,0.30542253872556285
train2_LatentEbyCRatio_5/12/20,0.2514255427664937
train2_LatentIbyCRatio_5/5/20,0.8995636832112922
train2_LatentIbyCRatio_5/12/20,0.2807768068772613
