,index,exposed,active_mean,recovered_mean,deceased_mean,confirmed_mean,hospitalized_mean,active_min,active_max,hospitalized_min,hospitalized_max,recovered_min,recovered_max,deceased_min,deceased_max,confirmed_min,confirmed_max,R_big,F,H,icu_mean,icu_min,icu_max
0,5/6/20,1534.9978900823,3917.870617389,750.6,83.4,4751.8706173890005,3217,3814.3761599559275,4021.365074822072,3132.0197385068122,3301.9802614931878,730.7721528514807,770.4278471485193,81.19690587238674,85.60309412761326,4626.345218679795,4877.396016098205,4051.6538231449003,834,3217,64.34,62.64039477013625,66.03960522986375
1,5/7/20,1370.7597324723,3989.9736341561,946.8000000000001,105.2,5041.9736341561,3170,3884.574503667598,4095.372764644602,3086.2612903533086,3253.738709646691,921.7893342922754,971.8106657077246,102.42103714358615,107.97896285641384,4908.78487510346,5175.1623932087405,4222.353767450801,1052,3170,63.4,61.725225807066174,65.07477419293382
2,5/8/20,1249.8716821858,4036.2603272671,1140.3,126.7,5303.2603272671,3146,3929.6384876445513,4142.882166889648,3062.8952742749243,3229.1047257250757,1110.1778389242518,1170.4221610757481,123.35309321380575,130.04690678619423,5163.169419782609,5443.351234751591,4413.7177381682,1267,3146,62.92,61.25790548549848,64.5820945145015
3,5/9/20,1159.4349114705,4063.8421611532003,1332.0,148.0,5543.8421611532,3137,3956.4917198967996,4171.1926024096,3054.13301824553,3219.8669817544696,1296.8138923503493,1367.1861076496505,144.09043248337215,151.90956751662785,5397.396044730521,5690.288277575879,4617.3753849753,1480,3137,62.74,61.0826603649106,64.3973396350894
4,5/10/20,1088.5514822342,4075.4788578186,1523.7,169.3,5768.4788578186,3133,3967.821021621092,4183.136694016108,3050.2386822324656,3215.761317767534,1483.4499457764468,1563.950054223553,164.82777175293856,173.77222824706146,5616.098739150477,5920.858976486722,4826.2852443681995,1693,3133,62.660000000000004,61.00477364464932,64.31522635535069
5,5/11/20,1031.5608510555999,4073.7696508805,1715.4,190.60000000000002,5979.7696508805,3130,3966.156965087887,4181.382336673113,3047.3179302226677,3212.682069777332,1670.0859992025446,1760.7140007974554,185.56511102250496,195.63488897749505,5821.808075312936,6137.731226448063,5036.8970096572,1906,3130,62.6,60.94635860445335,64.25364139554664
6,5/12/20,984.699127308,4063.0841106219,1906.2,211.8,6181.0841106218995,3128,3955.7536940258583,4170.414527217941,3045.3707622161355,3210.629237783864,1855.8458270257026,1956.5541729742972,206.20509189174473,217.39490810825527,6017.804612943305,6344.363608300493,5246.9203284392,2118,3128,62.56,60.90741524432271,64.21258475567728
7,5/13/20,944.2905972136,4044.6899842693,2097.0,233.0,6374.6899842693,3124,3937.845466854913,4151.534501683686,3041.4764262030717,3206.5235737969283,2041.6056548488607,2152.394345151139,226.84507276098452,239.15492723901545,6206.296194464759,6543.083774073842,5454.1170906727,2330,3124,62.480000000000004,60.82952852406143,64.13047147593856
8,5/14/20,908.5469458714,4017.6359504192,2287.8,254.20000000000002,6559.6359504192005,3115,3911.506092274638,4123.765808563761,3032.7141701736773,3197.2858298263222,2227.365482672019,2348.234517327981,247.48505363022434,260.9149463697757,6386.356628576882,6732.915272261519,5657.5034278978,2542,3115,62.300000000000004,60.65428340347355,63.94571659652645
9,5/15/20,876.6493063794001,3984.8316509273,2477.7000000000003,275.3,6737.8316509273,3103,3879.568351050976,4090.0949508036233,3021.031162134485,3184.9688378655146,2412.249084892238,2543.1509151077626,268.0276760991375,282.57232390086244,6559.8451120423515,6915.8181898122475,5856.7367596129,2753,3103,62.06,60.4206232426897,63.6993767573103
10,5/16/20,847.4999732502,3946.5164361509,2667.6,296.40000000000003,6910.5164361509,3087,3842.265270862971,4050.7676014388285,3005.4538180822283,3168.5461819177713,2597.132687112456,2738.0673128875433,288.57029856805076,304.2297014319493,6727.968256543478,7093.0646157583205,6051.2823192735,2964,3087,61.74,60.10907636164457,63.37092363835543
11,5/17/20,819.9707390509,3903.9671162981,2855.7000000000003,317.3,7076.967116298099,3067,3800.839933704435,4007.094298891764,2985.982138016908,3148.0178619830917,2780.2638381267966,2931.136161873204,308.9182042363107,325.6817957636893,6890.021976067542,7263.912256528656,6240.579132387,3173,3067,61.34,59.71964276033816,62.96035723966184
12,5/18/20,793.9568344977,3857.257735829,3042.9,338.1,7238.257735829,3043,3755.364428077253,3959.151043580747,2962.616121938523,3123.3838780614765,2962.5187635381967,3123.281236461803,329.1687515042441,347.0312484957559,7047.0519431196935,7429.463528538306,6424.7440877464,3381,3043,60.86,59.25232243877046,62.46767756122953
13,5/19/20,769.4062691327,3807.4016996005003,3228.3,358.70000000000005,7394.4016996005,3016,3706.825388738934,3907.978010462066,2936.3293538503403,3095.670646149659,3143.0212377437183,3313.5787622562816,349.2245819715243,368.17541802847575,7199.0712084541765,7589.732190746823,6603.9237479141,3587,3016,60.32,58.72658707700681,61.91341292299318
14,5/20/20,746.089139253,3754.6231301773,3412.8,379.20000000000005,7546.6231301773005,2986,3655.441017833241,3853.8052425213587,2907.1218337523596,3064.87816624764,3322.6474863463004,3502.9525136536995,369.18305403847785,389.2169459615222,7347.271558218019,7745.974702136581,6778.1406699677,3792,2986,59.72,58.14243667504719,61.2975633249528
15,5/21/20,723.6110570408,3698.3410622311,3595.5,399.5,7693.3410622311,2952,3600.645696810089,3796.036427652111,2874.0199776413147,3029.980022358685,3500.5212837430036,3690.478716256996,388.9468093047782,410.05319069522176,7490.113789857871,7896.568334604329,6947.3023895088,3995,2952,59.04,57.48039955282629,60.5996004471737
